Institution,Location,Joined,Left,Football,Basketball,Coordinates
Florida International University,"Miami, Florida",2013,,True,True,"25°47′N,80°13′W"
Jacksonville State University,"Jacksonville, Alabama",2023,,True,True,"33°48′57″N,85°45′38″W"
Liberty University,"Lynchburg, Virginia",2023,,True,True,"37°24′13″N,79°10′12″W"
Louisiana Tech University,"Ruston, Louisiana",2013,,True,True,"32°31′47″N,92°38′26″W"
Middle Tennessee State University,"Murfreesboro, Tennessee",2013,,True,True,"35°50′46″N,86°23′31″W"
New Mexico State University,"Las Cruces, New Mexico",2023,,True,True,"32°18′52″N,106°46′44″W"
Sam Houston State University,"Huntsville, Texas",2023,,True,True,"30°43′20″N,95°33′12″W"
University of Texas at El Paso,"El Paso, Texas",2005,,True,True,"31°45′33″N,106°29′19″W"
Western Kentucky University,"Bowling Green, Kentucky",2014,,True,True,"36°58′54″N,86°26′40″W"
Kennesaw State University,"Kennesaw, Georgia",2024,,True,True,"34°1′24″N,84°36′55″W"
University of Delaware,"Newark, Delaware",2025,,True,True,"39°41′01″N,75°44′59″W"
University of Alabama at Birmingham,"Birmingham, Alabama",1995,2023,True,True,"33°31′03″N,86°48′34″W"
University of Central Florida,"Orlando, Florida",2005,2013,True,True,"28°32′24″N,81°22′48″W"
University of Cincinnati,"Cincinnati, Ohio",1995,2005,True,True,"39°06′00″N,84°30′45″W"
DePaul University,"Chicago, Illinois",1995,2005,True,True,"41°52′55″N,87°37′40″W"
East Carolina University,"Greenville, North Carolina",2001,2014,True,True,"35°35′40″N,77°22′34″W"
Florida Atlantic University,"Boca Raton, Florida",2013,2023,True,True,"26°22′07″N,80°06′00″W"
University of Houston,"Houston, Texas",1996,2013,True,True,"29°45′46″N,95°22′59″W"
University of Louisville,"Louisville, Kentucky",1995,2005,True,True,"38°15′22″N,85°45′05″W"
Marquette University,"Milwaukee, Wisconsin",1995,2005,True,True,"43°03′N,87°57′W"
Marshall University,"Huntington, West Virginia",2005,2022,True,True,"38°25′15″N,82°25′25″W"
University of Memphis,"Memphis, Tennessee",1995,2013,True,True,"35°07′03″N,89°58′16″W"
University of North Carolina at Charlotte,"Charlotte, North Carolina",1995,2005,True,True,"35°13′38″N,80°50′35″W"
University of North Carolina at Charlotte,"Charlotte, North Carolina",2013,2023,True,True,"35°13′38″N,80°50′35″W"
University of North Texas,"Denton, Texas",2013,2023,True,True,"33°12′59″N,97°7′45″W"
Old Dominion University,"Norfolk, Virginia",2013,2022,True,True,"36°50′49″N,76°17′07″W"
Rice University,"Houston, Texas",2005,2023,True,True,"29°45′46″N,95°22′59″W"
Saint Louis University,"St. Louis, Missouri",1995,2005,True,True,"38°37′38″N,90°11′52″W"
University of South Florida,"Tampa, Florida",1995,2005,True,True,"27°56′51″N,82°27′31″W"
Southern Methodist University,"Dallas, Texas",2005,2013,True,True,"32°46′45″N,96°48′32″W"
University of Southern Mississippi,"Hattiesburg, Mississippi",1995,2022,True,True,"31°18′57″N,89°18′31″W"
Texas Christian University,"Fort Worth, Texas",2001,2005,True,True,"32°45′23″N,97°19′57″W"
University of Texas at San Antonio,"San Antonio, Texas",2013,2023,True,True,"29°25′30″N,98°29′38″W"
Tulane University,"New Orleans, Louisiana",1995,2014,True,True,"29°58′34″N,90°4′42″W"
University of Tulsa,"Tulsa, Oklahoma",2005,2014,True,True,"36°07′53″N,95°56′14″W"
United States Military Academy (Army),"West Point, New York",1998,2005,True,False,"41°23′29″N,73°57′22″W"
