Institution,Location,Joined,Left,Football,Basketball,Coordinates
University of Akron,"Akron, Ohio",1992,,True,True,"41°4′23″N,81°31′4″W"
Bowling Green State University,"Bowling Green, Ohio",1952,,True,True,"41°22′26″N,83°39′3″W"
University at Buffalo,"Buffalo, New York",1998,,True,True,"42°53′11″N,78°52′41″W"
Kent State University,"Kent, Ohio",1951,,True,True,"41°09′N,81°22′W"
Miami University,"Oxford, Ohio",1947,,True,True,"39°30′27″N,84°44′48″W"
Ohio University,"Athens, Ohio",1946,,True,True,"39°19′45″N,82°5′46″W"
Ball State University,"Muncie, Indiana",1973,,True,True,"40°11′48″N,85°22′30″W"
Central Michigan University,"Mount Pleasant, Michigan",1971,,True,True,"43°35′52″N,84°46′03″W"
Eastern Michigan University,"Ypsilanti, Michigan",1971,,True,True,"42°14′34″N,83°37′06″W"
Northern Illinois University,"DeKalb, Illinois",1975,,True,True,"41°55′53″N,88°45′01″W"
University of Toledo,"Toledo, Ohio",1950,,True,True,"41°39′56″N,83°34′31″W"
Western Michigan University,"Kalamazoo, Michigan",1947,,True,True,"42°17′24″N,85°35′09″W"
Butler University,"Indianapolis, Indiana",1946,1950,True,True,"39°46′07″N,86°09′29″W"
University of Cincinnati,"Cincinnati, Ohio",1946,1953,True,True,"39°06′00″N,84°30′45″W"
Marshall University,"Huntington, West Virginia",1954,1969,True,True,"38°25′15″N,82°25′25″W"
Marshall University,"Huntington, West Virginia",1997,2005,True,True,"38°25′15″N,82°25′25″W"
Wayne University,"Detroit, Michigan",1946,1947,True,True,"42°19′53″N,83°02′45″W"
Western Reserve University,"Cleveland, Ohio",1946,1955,True,True,"41°28′56″N,81°40′11″W"
University of Central Florida,"Orlando, Florida",2002,2004,True,False,"28°32′24″N,81°22′48″W"
University of Massachusetts,"Amherst, Massachusetts",2012,2015,True,False,"42°23′N,72°31′W"
Temple University,"Philadelphia, Pennsylvania",2007,2011,True,False,"39°57′10″N,75°09′49″W"
