Institution,Location,Joined,Left,Football,Basketball,Coordinates
United States Air Force Academy,"El Paso County, Colorado",1999,,True,True,"38°50′N,104°31′W"
Boise State University,"Boise, Idaho",2011,,True,True,"43°36′57″N,116°12′6″W"
"California State University, Fresno","Fresno, California",2012,,True,True,"36°45′N,119°46′W"
Colorado State University,"Fort Collins, Colorado",1999,,True,True,"40°33′33″N,105°4′41″W"
"University of Nevada, Reno","Reno, Nevada",2012,,True,True,"39°31′38″N,119°49′19″W"
"University of Nevada, Las Vegas","Las Vegas, Nevada",1999,,True,True,"36°10′30″N,115°08′11″W"
University of New Mexico,"Albuquerque, New Mexico",1999,,True,True,"35°06′39″N,106°35′36″W"
San Diego State University,"San Diego, California",1999,,True,True,"32°42′54″N,117°09′45″W"
San Jose State University,"San Jose, California",2013,,True,True,"37°20′10″N,121°53′26″W"
Utah State University,"Logan, Utah",2013,,True,True,"41°44′16″N,111°49′51″W"
University of Wyoming,"Laramie, Wyoming",1999,,True,True,"41°18′40″N,105°35′37″W"
University of Hawaiʻi at Mānoa,"Honolulu, Hawaii",2012,,True,False,"21°18′25″N,157°51′30″W"
Brigham Young University,"Provo, Utah",1999,2011,True,True,"40°14′40″N,111°39′39″W"
Texas Christian University,"Fort Worth, Texas",2005,2012,True,True,"32°45′23″N,97°19′57″W"
University of Utah,"Salt Lake City, Utah",1999,2011,True,True,"40°45′39″N,111°53′28″W"
