Institution,Location,Joined,Left,Football,Basketball,Coordinates
University of Florida,"Gainesville, Florida",1932,,True,True,"29°39′7″N,82°19′29″W"
University of Georgia,"Athens, Georgia",1932,,True,True,"33°57′N,83°23′W"
University of Kentucky,"Lexington, Kentucky",1932,,True,True,"38°02′47″N,84°29′49″W"
University of Missouri,"Columbia, Missouri",2012,,True,True,"38°56′51″N,92°19′36″W"
University of South Carolina,"Columbia, South Carolina",1991,,True,True,"34°0′2″N,81°2′5″W"
University of Tennessee,"Knoxville, Tennessee",1932,,True,True,"35°57′42″N,83°55′24″W"
Vanderbilt University,"Nashville, Tennessee",1932,,True,True,"36°09′44″N,86°46′28″W"
University of Alabama,"Tuscaloosa, Alabama",1932,,True,True,"33°12′24″N,87°32′5″W"
University of Arkansas,"Fayetteville, Arkansas",1991,,True,True,"36°03′45″N,94°09′27″W"
Auburn University,"Auburn, Alabama",1932,,True,True,"32°35′52″N,85°28′51″W"
Louisiana State University,"Baton Rouge, Louisiana",1932,,True,True,"30°26′51″N,91°10′43″W"
University of Mississippi,"University, Mississippi",1932,,True,True,"34°21′55″N,89°32′6″W"
Mississippi State University,"Mississippi State, Mississippi",1932,,True,True,"33°27′25″N,88°47′32″W"
Texas A&M University,"College Station, Texas",2012,,True,True,"30°36′05″N,96°18′52″W"
University of Oklahoma,"Norman, Oklahoma",2024,,True,True,"35°13′15″N,97°26′37″W"
University of Texas at Austin,"Austin, Texas",2024,,True,True,"30°16′2″N,97°44′35″W"
Sewanee: The University of the South,"Sewanee, Tennessee",1932,1940.0,True,True,"35°12′4″N,85°55′17″W"
Georgia Institute of Technology,"Atlanta, Georgia",1932,1964.0,True,True,"33°44′56″N,84°23′24″W"
Tulane University,"New Orleans, Louisiana",1932,1966.0,True,True,"29°58′34″N,90°4′42″W"
