Institution,Location,Joined,Left,Football,Basketball,Coordinates
Appalachian State University,"Boone, North Carolina",2014,,True,True,"36°12′40″N,81°40′01″W"
Coastal Carolina University,"Conway, South Carolina",2016,,True,True,"33°50′17″N,79°3′22″W"
Georgia Southern University,"Statesboro, Georgia",2014,,True,True,"32°26′43″N,81°46′45″W"
Georgia State University,"Atlanta, Georgia",1976,,True,True,"33°44′56″N,84°23′24″W"
James Madison University,"Harrisonburg, Virginia",2022,,True,True,"38°26′58″N,78°52′08″W"
Marshall University,"Huntington, West Virginia",2022,,True,True,"38°25′15″N,82°25′25″W"
Old Dominion University,"Norfolk, Virginia",1982,,True,True,"36°50′49″N,76°17′07″W"
Arkansas State University,"Jonesboro, Arkansas",1991,,True,True,"35°49′41″N,90°41′39″W"
University of Louisiana at Lafayette,"Lafayette, Louisiana",1991,,True,True,"30°13′N,92°2′W"
University of Louisiana at Monroe,"Monroe, Louisiana",2006,,True,True,"32°30′34″N,92°07′06″W"
University of South Alabama,"Mobile, Alabama",1976,,True,True,"30°41′40″N,88°02′35″W"
University of Southern Mississippi,"Hattiesburg, Mississippi",2022,,True,True,"31°18′57″N,89°18′31″W"
Texas State University,"San Marcos, Texas",2013,,True,True,"29°52′46″N,97°56′20″W"
Troy University,"Troy, Alabama",2005,,True,True,"31°48′32″N,85°58′12″W"
University of Alabama at Birmingham,"Birmingham, Alabama",1979,1991,True,True,"33°31′03″N,86°48′34″W"
University of Central Florida,"Orlando, Florida",1991,1992,True,True,"28°32′24″N,81°22′48″W"
University of Denver,"Denver, Colorado",1999,2012,True,True,"39°44′21″N,104°59′06″W"
Florida Atlantic University,"Boca Raton, Florida",2006,2013,True,True,"26°22′07″N,80°06′00″W"
Florida International University,"Miami, Florida",1998,2013,True,True,"25°47′N,80°13′W"
Jacksonville University,"Jacksonville, Florida",1976,1998,True,True,"30°20′13″N,81°39′41″W"
Lamar University,"Beaumont, Texas",1991,1998,True,True,"30°04′48″N,94°07′36″W"
University of Arkansas at Little Rock,"Little Rock, Arkansas",1991,2022,True,True,"34°44′10″N,92°19′52″W"
Louisiana Tech University,"Ruston, Louisiana",1991,2001,True,True,"32°31′47″N,92°38′26″W"
Middle Tennessee State University,"Murfreesboro, Tennessee",2000,2013,True,True,"35°50′46″N,86°23′31″W"
New Mexico State University,"Las Cruces, New Mexico",2000,2005,True,True,"32°18′52″N,106°46′44″W"
University of New Orleans,"New Orleans, Louisiana",1976,1980,True,True,"29°58′34″N,90°4′42″W"
University of New Orleans,"New Orleans, Louisiana",1991,2010,True,True,"29°58′34″N,90°4′42″W"
University of North Carolina at Charlotte,"Charlotte, North Carolina",1976,1991,True,True,"35°13′38″N,80°50′35″W"
University of North Texas,"Denton, Texas",2000,2013,True,True,"33°12′59″N,97°7′45″W"
University of South Florida,"Tampa, Florida",1976,1991,True,True,"27°56′51″N,82°27′31″W"
University of Texas at Arlington,"Arlington, Texas",2013,2022,True,True,"32°42′18″N,97°07′22″W"
University of Texas–Pan American,"Edinburg, Texas",1991,1998,True,True,"26°18′15″N,98°9′50″W"
Virginia Commonwealth University,"Richmond, Virginia",1979,1991,True,True,"37°32′27″N,77°26′12″W"
Western Kentucky University,"Bowling Green, Kentucky",1982,2014,True,True,"36°58′54″N,86°26′40″W"
University of Idaho,"Moscow, Idaho",2001,2005,True,False,"46°44′N,117°00′W"
University of Idaho,"Moscow, Idaho",2014,2018,True,False,"46°44′N,117°00′W"
New Mexico State University,"Las Cruces, New Mexico",2014,2018,True,False,"32°18′52″N,106°46′44″W"
Utah State University,"Logan, Utah",2003,2005,True,False,"41°44′16″N,111°49′51″W"
