Institution,Location,Joined,Left,Football,Basketball,Coordinates
University of Alabama at Birmingham,"Birmingham, Alabama",2023,False,True,True,"33°31′03″N,86°48′34″W"
East Carolina University,"Greenville, North Carolina",2014,False,True,True,"35°35′40″N,77°22′34″W"
Florida Atlantic University,"Boca Raton, Florida",2023,False,True,True,"26°22′07″N,80°06′00″W"
University of Memphis,"Memphis, Tennessee",2013,False,True,True,"35°07′03″N,89°58′16″W"
University of North Carolina at Charlotte,"Charlotte, North Carolina",2023,False,True,True,"35°13′38″N,80°50′35″W"
University of North Texas,"Denton, Texas",2023,False,True,True,"33°12′59″N,97°7′45″W"
Rice University,"Houston, Texas",2023,False,True,True,"29°45′46″N,95°22′59″W"
University of South Florida,"Tampa, Florida",2013,False,True,True,"27°56′51″N,82°27′31″W"
Temple University,"Philadelphia, Pennsylvania",2013,False,True,True,"39°57′10″N,75°09′49″W"
University of Texas at San Antonio,"San Antonio, Texas",2023,False,True,True,"29°25′30″N,98°29′38″W"
Tulane University,"New Orleans, Louisiana",2014,False,True,True,"29°58′34″N,90°4′42″W"
University of Tulsa,"Tulsa, Oklahoma",2014,False,True,True,"36°07′53″N,95°56′14″W"
Wichita State University,"Wichita, Kansas",2017,False,True,True,"37°41′20″N,97°20′10″W"
Florida International University,"Westchester, Florida",2022,False,True,True,"25°44′49″N,80°20′13″W"
James Madison University,"Harrisonburg, Virginia",2022,False,True,True,"38°26′58″N,78°52′08″W"
United States Military Academy (Army),"West Point, New York",2024,False,True,True,"41°23′42″N,73°57′18″W"
United States Naval Academy (Navy),"Annapolis, Maryland",2015,False,True,True,"38°58′23″N,76°30′04″W"
Old Dominion University,"Norfolk, Virginia",2020,False,True,True,"36°50′49″N,76°17′07″W"
Vanderbilt University,"Nashville, Tennessee",2018,False,True,True,"36°09′44″N,86°46′28″W"
Southern Methodist University,"University Park, Texas",2013,2024,True,True,"32°50′58″N,96°47′31″W"
University of Central Florida,"Orlando, Florida",2013,2023,True,True,"28°32′24″N,81°22′48″W"
University of Cincinnati,"Cincinnati, Ohio",2013,2023,True,True,"39°06′00″N,84°30′45″W"
University of Houston,"Houston, Texas",2013,2023,True,True,"29°45′46″N,95°22′59″W"
Rutgers University,"New Brunswick, New Jersey",2013,2014,True,True,"40°29′12″N,74°26′40″W"
University of Louisville,"Louisville, Kentucky",2013,2014,True,True,"38°15′22″N,85°45′05″W"
University of Connecticut,"Storrs, Connecticut",2013,2020,True,True,"41°48′30″N,72°14′58″W"
