Institution,Location,Joined,Left,Football,Basketball
Clemson University,"Clemson, South Carolina",1953,False,True,True
Duke University,"Durham, North Carolina",1953,False,True,True
University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",1953,False,True,True
North Carolina State University,"Raleigh, North Carolina",1953,False,True,True
Wake Forest University,"Winston-Salem, North Carolina",1953,False,True,True
University of Virginia,"Charlottesville, Virginia",1953,False,True,True
Georgia Institute of Technology,"Atlanta, Georgia",1979,False,True,True
Florida State University,"Tallahassee, Florida",1991,False,True,True
University of Miami,"Coral Gables, Florida",2004,False,True,True
Virginia Polytechnic Institute and State University,"Blacksburg, Virginia",2004,False,True,True
Boston College,"Chestnut Hill, Massachusetts",2005,False,True,True
University of Notre Dame,"Notre Dame, Indiana",2013,False,False,True
University of Pittsburgh,"Pittsburgh, Pennsylvania",2013,False,True,True
Syracuse University,"Syracuse, New York",2013,False,True,True
University of Louisville,"Louisville, Kentucky",2014,False,True,True
Southern Methodist University,"Dallas, Texas",2024,False,True,True
"University of California, Berkeley","Berkeley, California",2024,False,True,True
Stanford University,"Stanford, California",2024,False,True,True
University of South Carolina,"Columbia, South Carolina",1953,1971,True,True
"University of Maryland, College Park","College Park, Maryland",1953,2014,True,True
