Institution,Location,Joined,Left,Football,Basketball
University of Akron,"Akron, Ohio",1992,False,True,True
Bowling Green State University,"Bowling Green, Ohio",1952,False,True,True
University at Buffalo,"Buffalo, New York",1998,False,True,True
Kent State University,"Kent, Ohio",1951,False,True,True
Miami University,"Oxford, Ohio",1947,False,True,True
Ohio University,"Athens, Ohio",1946,False,True,True
Ball State University,"Muncie, Indiana",1973,False,True,True
Central Michigan University,"Mount Pleasant, Michigan",1971,False,True,True
Eastern Michigan University,"Ypsilanti, Michigan",1971,False,True,True
Northern Illinois University,"DeKalb, Illinois",1975,False,True,True
University of Toledo,"Toledo, Ohio",1950,False,True,True
Western Michigan University,"Kalamazoo, Michigan",1947,False,True,True
Butler University,"Indianapolis, Indiana",1946,1950,True,True
University of Cincinnati,"Cincinnati, Ohio",1946,1953,True,True
Marshall University,"Huntington, West Virginia",1954,1969,True,True
Marshall University,"Huntington, West Virginia",1997,2005,True,True
Wayne University,"Detroit, Michigan",1946,1947,True,True
Western Reserve University,"Cleveland, Ohio",1946,1955,True,True
University of Central Florida,"Orlando, Florida",2002,2004,True,False
University of Massachusetts,"Amherst, Massachusetts",2012,2015,True,False
Temple University,"Philadelphia, Pennsylvania",2007,2011,True,False
