Institution,Location,Joined,Left,Football,Basketball
United States Air Force Academy,"USAF Academy, Colorado",1999,False,True,True
Boise State University,"Boise, Idaho",2011,False,True,True
"California State University, Fresno","Fresno, California",2012,False,True,True
Colorado State University,"Fort Collins, Colorado",1999,False,True,True
"University of Nevada, Reno","Reno, Nevada",2012,False,True,True
"University of Nevada, Las Vegas","Las Vegas, Nevada",1999,False,True,True
University of New Mexico,"Albuquerque, New Mexico",1999,False,True,True
San Diego State University,"San Diego, California",1999,False,True,True
San Jose State University,"San Jose, California",2013,False,True,True
Utah State University,"Logan, Utah",2013,False,True,True
University of Wyoming,"Laramie, Wyoming",1999,False,True,True
University of Hawaiʻi at Mānoa,"Honolulu, Hawaiʻi",2012,False,True,False
Brigham Young University,"Provo, Utah",1999,2011,True,True
Texas Christian University,"Fort Worth, Texas",2005,2012,True,True
University of Utah,"Salt Lake City, Utah",1999,2011,True,True
