Institution,Location,Joined,Left,Football,Basketball
University of Arizona,"Tucson, Arizona",1978,2024,True,True
Arizona State University,"Tempe, Arizona",1978,2024,True,True
"University of California, Berkeley","Berkeley, California",1915,2024,True,True
"University of California, Los Angeles","Los Angeles, California",1928,2024,True,True
"University of Colorado, Boulder","Boulder, Colorado",2011,2024,True,True
University of Oregon,"Eugene, Oregon",1915,2024,True,True
Oregon State University,"Corvallis, Oregon",1915,False,True,True
University of Southern California,"Los Angeles, California",1922,2024,True,True
Stanford University,"Stanford, California",1918,2024,True,True
University of Utah,"Salt Lake City, Utah",2011,2024,True,True
University of Washington,"Seattle, Washington",1915,2024,True,True
Washington State University,"Pullman, Washington",1917,False,True,True
University of Idaho,"Moscow, Idaho",1922,1959,True,True
University of Montana,"Missoula, Montana",1924,1950,True,True
