Institution,Location,Joined,Left,Football,Basketball
University of Florida,"Gainesville, Florida",1932,False,True,True
University of Georgia,"Athens, Georgia",1932,False,True,True
University of Kentucky,"Lexington, Kentucky",1932,False,True,True
University of Missouri,"Columbia, Missouri",2012,False,True,True
University of South Carolina,"Columbia, South Carolina",1991,False,True,True
University of Tennessee,"Knoxville, Tennessee",1932,False,True,True
Vanderbilt University,"Nashville, Tennessee",1932,False,True,True
University of Alabama,"Tuscaloosa, Alabama",1932,False,True,True
University of Arkansas,"Fayetteville, Arkansas",1991,False,True,True
Auburn University,"Auburn, Alabama",1932,False,True,True
Louisiana State University,"Baton Rouge, Louisiana",1932,False,True,True
University of Mississippi,"University, Mississippi",1932,False,True,True
Mississippi State University,"Mississippi State, Mississippi",1932,False,True,True
Texas A&M University,"College Station, Texas",2012,False,True,True
University of Oklahoma,"Norman, Oklahoma",2024,False,True,True
University of Texas at Austin,"Austin, Texas",2024,False,True,True
Sewanee: The University of the South,"Sewanee, Tennessee",1932,1940,True,True
Georgia Institute of Technology,"Atlanta, Georgia",1932,1964,True,True
Tulane University,"New Orleans, Louisiana",1932,1966,True,True
