Institution,Location,Joined,Left,Football,Basketball
Appalachian State University,"Boone, North Carolina",2014,False,True,True
Coastal Carolina University,"Conway, South Carolina",2016,False,True,True
Georgia Southern University,"Statesboro, Georgia",2014,False,True,True
Georgia State University,"Atlanta, Georgia",1976,False,True,True
James Madison University,"Harrisonburg, Virginia",2022,False,True,True
Marshall University,"Huntington, West Virginia",2022,False,True,True
Old Dominion University,"Norfolk, Virginia",1982,False,True,True
Arkansas State University,"Jonesboro, Arkansas",1991,False,True,True
University of Louisiana at Lafayette,"Lafayette, Louisiana",1991,False,True,True
University of Louisiana at Monroe,"Monroe, Louisiana",2006,False,True,True
University of South Alabama,"Mobile, Alabama",1976,False,True,True
University of Southern Mississippi,"Hattiesburg, Mississippi",2022,False,True,True
Texas State University,"San Marcos, Texas",2013,False,True,True
Troy University,"Troy, Alabama",2005,False,True,True
University of Alabama at Birmingham,"Birmingham, Alabama",1979,1991,True,True
University of Central Florida,"Orlando, Florida",1991,1992,True,True
University of Denver,"Denver, Colorado",1999,2012,True,True
Florida Atlantic University,"Boca Raton, Florida",2006,2013,True,True
Florida International University,"Miami, Florida",1998,2013,True,True
Jacksonville University,"Jacksonville, Florida",1976,1998,True,True
Lamar University,"Beaumont, Texas",1991,1998,True,True
University of Arkansas at Little Rock,"Little Rock, Arkansas",1991,2022,True,True
Louisiana Tech University,"Ruston, Louisiana",1991,2001,True,True
Middle Tennessee State University,"Murfreesboro, Tennessee",2000,2013,True,True
New Mexico State University,"Las Cruces, New Mexico",2000,2005,True,True
University of New Orleans,"New Orleans, Louisiana",1976,1980,True,True
University of New Orleans,"New Orleans, Louisiana",1991,2010,True,True
University of North Carolina at Charlotte,"Charlotte, North Carolina",1976,1991,True,True
University of North Texas,"Denton, Texas",2000,2013,True,True
University of South Florida,"Tampa, Florida",1976,1991,True,True
University of Texas at Arlington,"Arlington, Texas",2013,2022,True,True
University of Texas–Pan American,"Edinburg, Texas",1991,1998,True,True
Virginia Commonwealth University,"Richmond, Virginia",1979,1991,True,True
Western Kentucky University,"Bowling Green, Kentucky",1982,2014,True,True
University of Idaho,"Moscow, Idaho",2001,2005,True,False
University of Idaho,"Moscow, Idaho",2014,2018,True,False
New Mexico State University,"Las Cruces, New Mexico",2014,2018,True,False
Utah State University,"Logan, Utah",2003,2005,True,False
