City,State,Latitude,Longitude
New York,NY,40.66,-73.94
Los Angeles,CA,34.02,-118.41
Chicago,IL,41.84,-87.68
Houston,TX,29.79,-95.39
Phoenix,AZ,33.57,-112.09
Philadelphia,PA,40.01,-75.13
San Antonio,TX,29.46,-98.52
San Diego,CA,32.81,-117.14
Dallas,TX,32.79,-96.77
Austin,TX,30.3,-97.75
Jacksonville,FL,30.34,-81.66
San Jose,CA,37.3,-121.81
Fort Worth,TX,32.78,-97.35
Columbus,OH,39.99,-82.99
Charlotte,NC,35.21,-80.83
Indianapolis,IN,39.78,-86.15
San Francisco,CA,37.73,-123.03
Seattle,WA,47.62,-122.35
Denver,CO,39.76,-104.88
Oklahoma City,OK,35.47,-97.51
Nashville,TN,36.17,-86.79
El Paso,TX,31.85,-106.43
Washington,DC,38.9,-77.02
Las Vegas,NV,36.23,-115.26
Boston,MA,42.34,-71.02
Portland,OR,45.54,-122.65
Louisville,KY,38.17,-85.65
Memphis,TN,35.11,-89.97
Detroit,MI,42.38,-83.1
Baltimore,MD,39.3,-76.61
Milwaukee,WI,43.06,-87.97
Albuquerque,NM,35.1,-106.65
Tucson,AZ,32.15,-110.87
Fresno,CA,36.78,-119.79
Sacramento,CA,38.57,-121.47
Mesa,AZ,33.4,-111.72
Kansas City,MO,39.12,-94.56
Atlanta,GA,33.76,-84.42
Colorado Springs,CO,38.87,-104.76
Omaha,NE,41.26,-96.05
Raleigh,NC,35.83,-78.64
Virginia Beach,VA,36.78,-76.03
Long Beach,CA,33.78,-118.17
Miami,FL,25.78,-80.21
Oakland,CA,37.77,-122.23
Minneapolis,MN,44.96,-93.27
Tulsa,OK,36.13,-95.9
Bakersfield,CA,35.35,-119.04
Tampa,FL,27.97,-82.47
Wichita,KS,37.69,-97.35
Arlington,TX,32.7,-97.12
Aurora,CO,39.7,-104.72
New Orleans,LA,30.05,-89.93
Cleveland,OH,41.48,-81.68
Anaheim,CA,33.86,-117.76
Honolulu,HI,21.32,-157.85
Henderson,NV,36.01,-115.04
Stockton,CA,37.98,-121.31
Riverside,CA,33.94,-117.39
Lexington,KY,38.04,-84.46
Corpus Christi,TX,27.75,-97.17
Orlando,FL,28.41,-81.25
Irvine,CA,33.68,-117.77
Cincinnati,OH,39.14,-84.51
Santa Ana,CA,33.74,-117.88
Newark,NJ,40.72,-74.17
Saint Paul,MN,44.95,-93.1
Pittsburgh,PA,40.44,-79.98
Greensboro,NC,36.1,-79.83
Lincoln,NE,40.81,-96.68
Durham,NC,35.98,-78.9
Plano,TX,33.05,-96.75
Anchorage,AK,61.17,-149.28
Jersey City,NJ,40.71,-74.06
St. Louis,MO,38.64,-90.24
Chandler,AZ,33.28,-111.85
North Las Vegas,NV,36.28,-115.09
Chula Vista,CA,32.63,-117.02
Buffalo,NY,42.89,-78.86
Gilbert,AZ,33.31,-111.74
Reno,NV,39.55,-119.85
Madison,WI,43.09,-89.43
Fort Wayne,IN,41.09,-85.14
Toledo,OH,41.66,-83.58
Lubbock,TX,33.57,-101.89
St. Petersburg,FL,27.77,-82.64
Laredo,TX,27.56,-99.49
Irving,TX,32.86,-96.97
Chesapeake,VA,36.68,-76.3
Glendale,AZ,33.53,-112.19
Winston-Salem,NC,36.1,-80.26
Scottsdale,AZ,33.68,-111.86
Garland,TX,32.91,-96.63
Boise,ID,43.6,-116.23
Norfolk,VA,36.92,-76.24
Port St. Lucie,FL,27.28,-80.39
Spokane,WA,47.67,-117.43
Richmond,VA,37.53,-77.48
Fremont,CA,37.49,-121.94
Huntsville,AL,34.78,-86.53
Tacoma,WA,47.25,-122.46
Baton Rouge,LA,30.44,-91.13
Santa Clarita,CA,34.41,-118.49
San Bernardino,CA,34.14,-117.29
Hialeah,FL,25.87,-80.3
Frisco,TX,33.16,-96.82
Modesto,CA,37.64,-121.0
Cape Coral,FL,26.65,-81.99
Fontana,CA,34.11,-117.46
Moreno Valley,CA,33.92,-117.21
Des Moines,IA,41.57,-93.61
Rochester,NY,43.17,-77.62
Fayetteville,NC,35.08,-78.97
Yonkers,NY,40.95,-73.87
McKinney,TX,33.2,-96.66
Worcester,MA,42.27,-71.81
Salt Lake City,UT,40.78,-111.93
Little Rock,AR,34.72,-92.36
Columbus,GA,32.51,-84.87
Augusta,GA,33.37,-82.07
Sioux Falls,SD,43.54,-96.73
Grand Prairie,TX,32.69,-97.02
Tallahassee,FL,30.46,-84.25
Amarillo,TX,35.2,-101.83
Oxnard,CA,34.2,-119.21
Peoria,AZ,33.79,-112.31
Overland Park,KS,38.89,-94.69
Montgomery,AL,32.35,-86.27
Birmingham,AL,33.53,-86.8
Grand Rapids,MI,42.96,-85.66
Knoxville,TN,35.97,-83.95
Vancouver,WA,45.64,-122.6
Huntington Beach,CA,33.7,-118.0
Providence,RI,41.82,-71.42
Brownsville,TX,26.0,-97.45
Glendale,CA,34.18,-118.25
Akron,OH,41.08,-81.52
Tempe,AZ,33.39,-111.93
Newport News,VA,37.08,-76.52
Chattanooga,TN,35.07,-85.25
Mobile,AL,30.67,-88.1
Fort Lauderdale,FL,26.14,-80.15
Cary,NC,35.78,-78.82
Shreveport,LA,32.47,-93.79
Ontario,CA,34.04,-117.6
Eugene,OR,44.06,-123.12
Aurora,IL,41.76,-88.29
Elk Grove,CA,38.41,-121.38
Salem,OR,44.92,-123.02
Santa Rosa,CA,38.45,-122.71
Clarksville,TN,36.57,-87.35
Rancho Cucamonga,CA,34.12,-117.56
Oceanside,CA,33.22,-117.31
Springfield,MO,37.19,-93.29
Pembroke Pines,FL,26.01,-80.34
Garden Grove,CA,33.78,-117.96
Fort Collins,CO,40.55,-105.06
Lancaster,CA,34.69,-118.18
Palmdale,CA,34.59,-118.11
Murfreesboro,TN,35.85,-86.42
Salinas,CA,36.69,-121.63
Corona,CA,33.86,-117.57
Killeen,TX,31.08,-97.73
Hayward,CA,37.63,-122.1
Paterson,NJ,40.91,-74.16
Macon,GA,32.81,-83.69
Lakewood,CO,39.7,-105.12
Alexandria,VA,38.82,-77.08
Roseville,CA,38.77,-121.32
Surprise,AZ,33.67,-112.45
Springfield,MA,42.12,-72.54
Charleston,SC,32.83,-79.97
Kansas City,KS,39.12,-94.74
Sunnyvale,CA,37.39,-122.03
Bellevue,WA,47.6,-122.16
Hollywood,FL,26.03,-80.16
Denton,TX,33.22,-97.14
Escondido,CA,33.13,-117.07
Joliet,IL,41.52,-88.15
Naperville,IL,41.75,-88.16
Bridgeport,CT,41.19,-73.2
Savannah,GA,32.0,-81.15
Mesquite,TX,32.76,-96.59
Pasadena,TX,29.65,-95.15
Rockford,IL,42.26,-89.06
Pomona,CA,34.06,-117.76
Jackson,MS,32.32,-90.21
Olathe,KS,38.88,-94.82
Gainesville,FL,29.68,-82.35
McAllen,TX,26.22,-98.25
Syracuse,NY,43.04,-76.14
Waco,TX,31.56,-97.19
Visalia,CA,36.33,-119.33
Thornton,CO,39.92,-104.94
Torrance,CA,33.83,-118.36
Fullerton,CA,33.89,-117.93
Columbia,SC,34.04,-80.91
Lakewood,NJ,40.08,-74.2
New Haven,CT,41.31,-72.92
Hampton,VA,37.05,-76.3
Miramar,FL,25.97,-80.34
Victorville,CA,34.53,-117.35
Warren,MI,42.49,-83.03
West Valley City,UT,40.69,-112.01
Cedar Rapids,IA,41.97,-91.68
Stamford,CT,41.08,-73.55
Orange,CA,33.79,-117.86
Dayton,OH,39.78,-84.2
Midland,TX,32.02,-102.11
Kent,WA,47.39,-122.21
Elizabeth,NJ,40.67,-74.19
Pasadena,CA,34.16,-118.14
Carrollton,TX,32.99,-96.9
Coral Springs,FL,26.27,-80.26
Sterling Heights,MI,42.58,-83.03
Fargo,ND,46.86,-96.83
Lewisville,TX,33.05,-96.98
Meridian,ID,43.61,-116.4
Norman,OK,35.24,-97.35
Palm Bay,FL,27.96,-80.66
Athens,GA,33.95,-83.37
Columbia,MO,38.95,-92.33
Abilene,TX,32.45,-99.74
Pearland,TX,29.56,-95.32
Santa Clara,CA,37.36,-121.97
Round Rock,TX,30.53,-97.66
Topeka,KS,39.03,-95.69
Allentown,PA,40.59,-75.48
Clovis,CA,36.83,-119.68
Simi Valley,CA,34.27,-118.75
College Station,TX,30.59,-96.3
Thousand Oaks,CA,34.19,-118.87
Vallejo,CA,38.11,-122.26
Concord,CA,37.97,-122.0
Rochester,MN,44.02,-92.48
Arvada,CO,39.83,-105.15
Lafayette,LA,30.21,-92.03
Independence,MO,39.09,-94.35
West Palm Beach,FL,26.75,-80.13
Hartford,CT,41.77,-72.68
Wilmington,NC,34.21,-77.89
Lakeland,FL,28.06,-81.95
Billings,MT,45.79,-108.55
Ann Arbor,MI,42.28,-83.73
Fairfield,CA,38.26,-122.03
Berkeley,CA,37.87,-122.3
Richardson,TX,32.97,-96.71
North Charleston,SC,32.92,-80.07
Cambridge,MA,42.38,-71.12
Broken Arrow,OK,36.04,-95.78
Clearwater,FL,27.98,-82.77
West Jordan,UT,40.6,-112.0
Evansville,IN,37.99,-87.53
League City,TX,29.49,-95.11
Antioch,CA,37.98,-121.8
Manchester,NH,42.98,-71.44
High Point,NC,35.99,-79.99
Waterbury,CT,41.56,-73.04
Westminster,CO,39.88,-105.06
Richmond,CA,37.95,-122.36
Carlsbad,CA,33.13,-117.28
Las Cruces,NM,32.33,-106.79
Murrieta,CA,33.57,-117.19
Lowell,MA,42.64,-71.32
Provo,UT,40.25,-111.65
Springfield,IL,39.79,-89.64
Elgin,IL,42.04,-88.33
Odessa,TX,31.88,-102.35
Lansing,MI,42.71,-84.56
Pompano Beach,FL,26.24,-80.13
Beaumont,TX,30.08,-94.15
Temecula,CA,33.49,-117.13
Gresham,OR,45.5,-122.44
Allen,TX,33.11,-96.67
Pueblo,CO,38.27,-104.61
Everett,WA,47.95,-122.19
South Fulton,GA,33.66,-84.57
Peoria,IL,40.75,-89.62
Nampa,ID,43.58,-116.56
Tuscaloosa,AL,33.23,-87.53
Miami Gardens,FL,25.95,-80.24
Santa Maria,CA,34.93,-120.44
Downey,CA,33.94,-118.13
Concord,NC,35.39,-80.64
Ventura,CA,34.27,-119.25
Costa Mesa,CA,33.67,-117.91
Sugar Land,TX,29.59,-95.63
Menifee,CA,33.69,-117.18
Tyler,TX,32.32,-95.31
Sparks,NV,39.57,-119.72
Greeley,CO,40.41,-104.77
Rio Rancho,NM,35.29,-106.7
Sandy Springs,GA,33.93,-84.37
Dearborn,MI,42.31,-83.21
Jurupa Valley,CA,34.0,-117.47
Edison,NJ,40.5,-74.35
Spokane Valley,WA,47.66,-117.23
Hillsboro,OR,45.53,-122.94
Davie,FL,26.08,-80.28
Green Bay,WI,44.52,-87.99
Centennial,CO,39.59,-104.87
Buckeye,AZ,33.43,-112.64
Boulder,CO,40.02,-105.25
Goodyear,AZ,33.25,-112.37
El Monte,CA,34.07,-118.03
West Covina,CA,34.06,-117.91
Brockton,MA,42.08,-71.02
New Braunfels,TX,29.7,-98.12
El Cajon,CA,32.8,-116.96
Edinburg,TX,26.32,-98.16
Renton,WA,47.48,-122.19
Burbank,CA,34.19,-118.33
Inglewood,CA,33.96,-118.34
Rialto,CA,34.12,-117.39
Lee's Summit,MO,38.92,-94.38
Bend,OR,44.06,-121.31
Woodbridge,NJ,40.56,-74.29
South Bend,IN,41.68,-86.27
