Institution,Location,Joined,Left,Football,Basketball,Coordinates
Clemson University,"Clemson, South Carolina",1953,,True,True,"34°41′6″N,82°48′53″W"
Duke University,"Durham, North Carolina",1953,,True,True,"35°58′43″N,78°54′00″W"
University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",1953,,True,True,"35°55′38″N,79°02′21″W"
North Carolina State University,"Raleigh, North Carolina",1953,,True,True,"35°51′15″N,78°45′43″W"
Wake Forest University,"Winston-Salem, North Carolina",1953,,True,True,"36°06′10″N,80°15′39″W"
University of Virginia,"Charlottesville, Virginia",1953,,True,True,"38°01′48″N,78°28′44″W"
Georgia Institute of Technology,"Atlanta, Georgia",1979,,True,True,"33°44′56″N,84°23′24″W"
Florida State University,"Tallahassee, Florida",1991,,True,True,"30°27′18″N,84°15′12″W"
University of Miami,"Coral Gables, Florida",2004,,True,True,"25°43′00″N,80°16′20″W"
Virginia Tech,"Blacksburg, Virginia",2004,,True,True,"37°13′48″N,80°25′4″W"
Boston College,"Chestnut Hill, Massachusetts",2005,,True,True,"42°19′50″N,71°9′58″W"
University of Notre Dame,"Notre Dame, Indiana",2013,,False,True,"41°42′05″N,86°14′45″W"
University of Pittsburgh,"Pittsburgh, Pennsylvania",2013,,True,True,"40°26′23″N,79°58′35″W"
Syracuse University,"Syracuse, New York",2013,,True,True,"43°02′49″N,76°08′40″W"
University of Louisville,"Louisville, Kentucky",2014,,True,True,"38°15′22″N,85°45′05″W"
Southern Methodist University,"Dallas, Texas",2024,,True,True,"32°46′45″N,96°48′32″W"
"University of California, Berkeley","Berkeley, California",2024,,True,True,"37°52′18″N,122°16′22″W"
Stanford University,"Stanford, California",2024,,True,True,"37°25′21″N,122°9′55″W"
University of South Carolina,"Columbia, South Carolina",1953,1971,True,True,"34°0′2″N,81°2′5″W"
"University of Maryland, College Park","College Park, Maryland",1953,2014,True,True,"38°59′48″N,76°55′39″W"
