Institution,Location,Joined,Left,Football,Basketball,Coordinates
University of Colorado,"Boulder, Colorado",1947,1997,True,True,"40°00′54″N,105°16′14″W"
Iowa State University,"Ames, Iowa",1908,1997,True,True,"42°02′05″N,93°37′12″W"
University of Kansas,"Lawrence, Kansas",1907,1997,True,True,"38°57′35″N,95°15′51″W"
Kansas State University,"Manhattan, Kansas",1913,1997,True,True,"39°11′19″N,96°36′17″W"
University of Missouri,"Columbia, Missouri",1907,1997,True,True,"38°56′51″N,92°19′36″W"
University of Nebraska,"Lincoln, Nebraska",1907,1997,True,True,"40°48′33″N,96°40′41″W"
University of Oklahoma,"Norman, Oklahoma",1919,1997,True,True,"35°13′15″N,97°26′37″W"
Oklahoma State University,"Stillwater, Oklahoma",1925,1928,True,True,"36°06′58″N,97°03′32″W"
Oklahoma State University,"Stillwater, Oklahoma",1958,1997,True,True,"36°06′58″N,97°03′32″W"
Drake University,"Des Moines, Iowa",1908,1928,True,True,"41°35′27″N,93°37′15″W"
Grinnell College,"Grinnell, Iowa",1918,1928,True,True,"41°44′37″N,92°43′29″W"
University of Iowa,"Iowa City, Iowa",1907,1911,True,True,"41°40′N,91°32′W"
Washington University in St. Louis,"St. Louis, Missouri",1907,1928,True,True,"38°37′38″N,90°11′52″W"
