Institution,Location,Joined,Left,Football,Basketball,Coordinates
California Polytechnic State University (Cal Poly),"San Luis Obispo, California",1996,2001,True,True,"35°16′27″N,120°39′47″W"
"California State University, Fullerton (Cal State Fullerton)","Fullerton, California",1974,2001,True,True,"33°52′48″N,117°55′43″W"
"California State University, Long Beach (Long Beach State)","Long Beach, California",1969,2001,True,True,"33°46′6″N,118°11′44″W"
"University of California, Irvine (UC Irvine)","Irvine, California",1977,2001,True,True,"33°40′10″N,117°49′23″W"
"University of California, Santa Barbara (UC Santa Barbara)","Santa Barbara, California",1969,2001,True,True,"34°25′N,119°42′W"
Boise State University,"Boise, Idaho",1996,2001,True,True,"43°36′57″N,116°12′6″W"
"California State University, Fresno (Fresno State)","Fresno, California",1969,1992,True,True,"36°45′N,119°46′W"
"California State University, Los Angeles (Cal State L.A.)","Los Angeles, California",1969,1974,True,True,"34°03′N,118°15′W"
University of Idaho,"Moscow, Idaho",1996,2001,True,True,"46°44′N,117°00′W"
"University of Nevada, Las Vegas (UNLV)","Las Vegas, Nevada",1982,1996,True,True,"36°10′30″N,115°08′11″W"
"University of Nevada, Reno","Reno, Nevada",1992,2001,True,True,"39°31′38″N,119°49′19″W"
New Mexico State University,"Las Cruces, New Mexico",1983,2001,True,True,"32°18′52″N,106°46′44″W"
University of North Texas,"Denton, Texas",1996,2000,True,True,"33°12′59″N,97°7′45″W"
San Diego State University,"San Diego, California",1969,1978,True,True,"32°42′54″N,117°09′45″W"
San Jose State University,"San Jose, California",1969,1996,True,True,"37°20′10″N,121°53′26″W"
Utah State University,"Logan, Utah",1978,2001,True,True,"41°44′16″N,111°49′51″W"
University of the Pacific,"Stockton, California",1969,1971,True,False,"37°58′32″N,121°18′03″W"
University of the Pacific,"Stockton, California",1970,2001,True,True,"37°58′32″N,121°18′03″W"
Arkansas State University,"Jonesboro, Arkansas",1993,1995,True,False,"35°48′40″N,90°41′49″W"
Louisiana Tech University,"Ruston, Louisiana",1993,1995,True,False,"32°31′47″N,92°38′26″W"
Northern Illinois University,"DeKalb, Illinois",1993,1995,True,False,"41°55′53″N,88°45′01″W"
University of Southwestern Louisiana,"Lafayette, Louisiana",1993,1995,True,False,"30°13′N,92°2′W"
