Institution,Location,Joined,Left,Football,Basketball,Coordinates
University of Arizona,"Tucson, Arizona",1978,2024,True,True,"32°13′18″N,110°55′35″W"
Arizona State University,"Tempe, Arizona",1978,2024,True,True,"33°24′46″N,111°56′35″W"
"University of California, Berkeley","Berkeley, California",1915,2024,True,True,"37°52′18″N,122°16′22″W"
"University of California, Los Angeles","Los Angeles, California",1928,2024,True,True,"34°03′N,118°15′W"
"University of Colorado, Boulder","Boulder, Colorado",2011,2024,True,True,"40°00′54″N,105°16′14″W"
University of Oregon,"Eugene, Oregon",1915,2024,True,True,"44°03′20″N,123°08′12″W"
Oregon State University,"Corvallis, Oregon",1915,False,True,True,"44°34′11″N,123°16′42″W"
University of Southern California,"Los Angeles, California",1922,2024,True,True,"34°03′N,118°15′W"
Stanford University,"Stanford, California",1918,2024,True,True,"37°25′21″N,122°9′55″W"
University of Utah,"Salt Lake City, Utah",2011,2024,True,True,"40°45′39″N,111°53′28″W"
University of Washington,"Seattle, Washington",1915,2024,True,True,"47°36′35″N,122°19′59″W"
Washington State University,"Pullman, Washington",1917,False,True,True,"46°44′N,117°10′W"
University of Idaho,"Moscow, Idaho",1922,1959,True,True,"46°44′N,117°00′W"
University of Montana,"Missoula, Montana",1924,1950,True,True,"46°51′45″N,114°0′42″W"
