Institution,Location,Joined,Left,Football,Basketball,Coordinates
United States Air Force Academy (Air Force),"Colorado Springs, Colorado",1980,1999,True,True,"38°50′02″N,104°49′31″W"
University of Arizona,"Tucson, Arizona",1962,1978,True,True,"32°13′18″N,110°55′35″W"
Arizona State University,"Tempe, Arizona",1962,1978,True,True,"33°24′46″N,111°56′35″W"
Boise State University,"Boise, Idaho",2001,2011,True,True,"43°36′57″N,116°12′6″W"
Brigham Young University (BYU),"Provo, Utah",1962,1999,True,True,"40°14′40″N,111°39′39″W"
"California State University, Fresno (Fresno State)","Fresno, California",1992,2012,True,True,"36°45′N,119°46′W"
Colorado State University,"Fort Collins, Colorado",1968,1999,True,True,"40°33′33″N,105°4′41″W"
University of Hawaiʻi at Mānoa,"Honolulu, Hawaii",1979,2012,True,True,"21°18′25″N,157°51′30″W"
University of Idaho,"Moscow, Idaho",2005,2013,True,True,"46°44′N,117°00′W"
Louisiana Tech University,"Ruston, Louisiana",2001,2013,True,True,"32°31′47″N,92°38′26″W"
"University of Nevada, Las Vegas (UNLV)","Las Vegas, Nevada",1996,1999,True,True,"36°10′30″N,115°08′11″W"
"University of Nevada, Reno","Reno, Nevada",2000,2012,True,True,"39°31′38″N,119°49′19″W"
University of New Mexico,"Albuquerque, New Mexico",1962,1999,True,True,"35°06′39″N,106°35′36″W"
New Mexico State University,"Las Cruces, New Mexico",2005,2013,True,True,"32°18′52″N,106°46′44″W"
Rice University,"Houston, Texas",1996,2005,True,True,"29°45′46″N,95°22′59″W"
San Diego State University,"San Diego, California",1978,1999,True,True,"32°42′54″N,117°09′45″W"
San Jose State University,"San Jose, California",1996,2013,True,True,"37°20′10″N,121°53′26″W"
Southern Methodist University (SMU),"Dallas, Texas",1996,2005,True,True,"32°46′45″N,96°48′32″W"
Texas Christian University (TCU),"Fort Worth, Texas",1996,2001,True,True,"32°45′23″N,97°19′57″W"
University of Texas at El Paso (UTEP),"El Paso, Texas",1968,2005,True,True,"31°45′33″N,106°29′19″W"
University of Tulsa,"Tulsa, Oklahoma",1996,2005,True,True,"36°07′53″N,95°56′14″W"
University of Utah,"Salt Lake City, Utah",1962,1999,True,True,"40°45′39″N,111°53′28″W"
Utah State University,"Logan, Utah",2005,2013,True,True,"41°44′16″N,111°49′51″W"
University of Wyoming,"Laramie, Wyoming",1962,1999,True,True,"41°18′40″N,105°35′37″W"
Texas State University,"San Marcos, Texas",2011,2013,True,True,"29°52′46″N,97°56′20″W"
University of Texas at San Antonio,"San Antonio, Texas",2011,2013,True,True,"29°25′30″N,98°29′38″W"
